amount_type.label,amount_type.code,financial_period.period,period_length.length,financial_year_end.year,item.composition,item.return_form_structure,item.position_in_return_form,item.label,item.code,demarcation.label,demarcation.code,amount.sum
Audited Actual,AUDA,2015,year,2015,,heading,1,OPERATING REVENUE,0100,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,,line_item,2,Property Rates,0200,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,,line_item,3,Property Rates - Penalties And Collection Charges,0300,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,,line_item,4,Service Charges,0400,West Coast,DC1,107439237
Audited Actual,AUDA,2015,year,2015,,line_item,5,Rent Of Facilities And Equipment,0700,West Coast,DC1,3000953
Audited Actual,AUDA,2015,year,2015,,line_item,6,Interest Earned - External Investments,0800,West Coast,DC1,13525870
Audited Actual,AUDA,2015,year,2015,,line_item,7,Interest Earned - Outstanding Debtors,1000,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,,line_item,8,Dividends Received,1100,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,,line_item,9,Fines,1300,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,,line_item,10,Licenses and Permits,1400,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,,line_item,11,Agency Services,1500,West Coast,DC1,110516285
Audited Actual,AUDA,2015,year,2015,,line_item,12,Transfers Recognised - Operating,1600,West Coast,DC1,81346519
Audited Actual,AUDA,2015,year,2015,,line_item,13,Transfers Recognised - Capital,1610,West Coast,DC1,3071915
Audited Actual,AUDA,2015,year,2015,,line_item,14,Other Revenue,1700,West Coast,DC1,13109310
Audited Actual,AUDA,2015,year,2015,,line_item,15,"Gain On Disposal Of Property, Plant & Equipment",1800,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,"sum(0200, 0300, 0400, 0700, 0800, 1000, 1100, 1300, 1400, 1500, 1600, 1610, 1700, 1800)",subtotal,16,Total Operating Revenue Generated,1900,West Coast,DC1,332010089
Audited Actual,AUDA,2015,year,2015,,line_item,17,Less Revenue Foregone,2000,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,1900 - 2000 or 1900 + 2000 depending on the sign on 2000 such that 2100 < 1900,subtotal,18,Total Direct Operating Revenue,2100,West Coast,DC1,332010089
Audited Actual,AUDA,2015,year,2015,,heading,19,INTERNAL TRANSFERS – (must net out with corresp. items under,2200,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,,line_item,20,Interest Received - Internal Loans,2300,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,,line_item,21,Internal Recoveries (Activity Based Costing Etc),2500,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,,line_item,22,Dividends Received - Internal (From Municipal Entities),2600,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,"sum(2300, 2500, 2600)",subtotal,23,Total Indirect Operating Revenue,2700,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,"sum(2100, 2700)",subtotal,24,Total Operating Revenue,2800,West Coast,DC1,332010089
Audited Actual,AUDA,2015,year,2015,,heading,25,OPERATING EXPENDITURE,2900,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,,line_item,26,Employee Related Costs - Wages & Salaries,3000,West Coast,DC1,132634991
Audited Actual,AUDA,2015,year,2015,,line_item,27,Employee Related Costs - Social Contributions,3100,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,,line_item,28,Less Employee Costs Capitalised,3200,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,,line_item,29,Less Employee Costs Allocated To Other Operating Items,3300,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,,line_item,30,Remuneration Of Councillors,3400,West Coast,DC1,5883073
Audited Actual,AUDA,2015,year,2015,,line_item,31,Debt Impairment,3500,West Coast,DC1,360939
Audited Actual,AUDA,2015,year,2015,,line_item,32,Collection Costs,3600,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,,line_item,33,Depreciation and Asset Impairment,3700,West Coast,DC1,12695300
Audited Actual,AUDA,2015,year,2015,,line_item,34,Interest Expense - External Borrowings,3900,West Coast,DC1,10454063
Audited Actual,AUDA,2015,year,2015,,line_item,35,Redemption Payments - External Borrowings (Gamap To Remove),4000,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,,line_item,36,Bulk Purchases,4100,West Coast,DC1,10614821
Audited Actual,AUDA,2015,year,2015,,line_item,37,Other Materials,4110,West Coast,DC1,56090850
Audited Actual,AUDA,2015,year,2015,,line_item,38,Contracted Services,4200,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,,line_item,39,Grants and Subsidies,4300,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,,line_item,40,Other Expenditure,4400,West Coast,DC1,64149076
Audited Actual,AUDA,2015,year,2015,,line_item,41,"Loss On Disposal Of Property, Plant & Equipment",4500,West Coast,DC1,760936
Audited Actual,AUDA,2015,year,2015,,line_item,42,Contributions To/(From) Provisions,4550,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,"sum(3000, 3100, 3200, 3300, 3400, 3500, 3600, 3700, 3900, 4000, 4100, 4110, 4200, 4300, 4400, 4500, 4550)",subtotal,43,Total Direct Operating Expenditure,4600,West Coast,DC1,293644049
Audited Actual,AUDA,2015,year,2015,,heading,44,INTERNAL TRANSFERS - (must net out with corresp. items under,4700,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,,line_item,45,Interest - Internal Borrowings,4800,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,,line_item,46,Internal Charges (Activity Based Costing Etc),5000,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,,line_item,47,Contributed Assets,5010,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,"sum(4800, 5000, 5010)",subtotal,48,Total Indirect Operating Expenditure,5100,West Coast,DC1,0
Audited Actual,AUDA,2015,year,2015,"sum(4600, 5100)",subtotal,49,Total Operating Expenditure,5200,West Coast,DC1,293644049
