amount_type.label,amount_type.code,financial_period.period,period_length.length,financial_year_end.year,item.composition,item.return_form_structure,item.position_in_return_form,item.label,item.code,demarcation.label,demarcation.code,amount.sum
Audited Actual,AUDA,2017,year,2017,,heading,1,OPERATING REVENUE,0100,Buffalo City,BUF,0
Audited Actual,AUDA,2017,year,2017,,line_item,2,Property Rates,0200,Buffalo City,BUF,957618439
Audited Actual,AUDA,2017,year,2017,,line_item,3,Property Rates - Penalties And Collection Charges,0300,Buffalo City,BUF,0
Audited Actual,AUDA,2017,year,2017,,line_item,4,Service Charges,0400,Buffalo City,BUF,2593541588
Audited Actual,AUDA,2017,year,2017,,line_item,5,Rent Of Facilities And Equipment,0700,Buffalo City,BUF,16424005
Audited Actual,AUDA,2017,year,2017,,line_item,6,Interest Earned - External Investments,0800,Buffalo City,BUF,148011397
Audited Actual,AUDA,2017,year,2017,,line_item,7,Interest Earned - Outstanding Debtors,1000,Buffalo City,BUF,50425493
Audited Actual,AUDA,2017,year,2017,,line_item,8,Dividends Received,1100,Buffalo City,BUF,0
Audited Actual,AUDA,2017,year,2017,,line_item,9,Fines,1300,Buffalo City,BUF,16895710
Audited Actual,AUDA,2017,year,2017,,line_item,10,Licenses and Permits,1400,Buffalo City,BUF,14225199
Audited Actual,AUDA,2017,year,2017,,line_item,11,Agency Services,1500,Buffalo City,BUF,0
Audited Actual,AUDA,2017,year,2017,,line_item,12,Transfers Recognised - Operating,1600,Buffalo City,BUF,1304827290
Audited Actual,AUDA,2017,year,2017,,line_item,13,Transfers Recognised - Capital,1610,Buffalo City,BUF,669780334
Audited Actual,AUDA,2017,year,2017,,line_item,14,Other Revenue,1700,Buffalo City,BUF,274544055
Audited Actual,AUDA,2017,year,2017,,line_item,15,"Gain On Disposal Of Property, Plant & Equipment",1800,Buffalo City,BUF,0
Audited Actual,AUDA,2017,year,2017,"sum(0200, 0300, 0400, 0700, 0800, 1000, 1100, 1300, 1400, 1500, 1600, 1610, 1700, 1800)",subtotal,16,Total Operating Revenue Generated,1900,Buffalo City,BUF,6046293510
Audited Actual,AUDA,2017,year,2017,,line_item,17,Less Revenue Foregone,2000,Buffalo City,BUF,98766076
Audited Actual,AUDA,2017,year,2017,1900 - 2000 or 1900 + 2000 depending on the sign on 2000 such that 2100 < 1900,subtotal,18,Total Direct Operating Revenue,2100,Buffalo City,BUF,5947527434
Audited Actual,AUDA,2017,year,2017,,heading,19,INTERNAL TRANSFERS – (must net out with corresp. items under,2200,Buffalo City,BUF,0
Audited Actual,AUDA,2017,year,2017,,line_item,20,Interest Received - Internal Loans,2300,Buffalo City,BUF,0
Audited Actual,AUDA,2017,year,2017,,line_item,21,Internal Recoveries (Activity Based Costing Etc),2500,Buffalo City,BUF,0
Audited Actual,AUDA,2017,year,2017,,line_item,22,Dividends Received - Internal (From Municipal Entities),2600,Buffalo City,BUF,0
Audited Actual,AUDA,2017,year,2017,"sum(2300, 2500, 2600)",subtotal,23,Total Indirect Operating Revenue,2700,Buffalo City,BUF,0
Audited Actual,AUDA,2017,year,2017,"sum(2100, 2700)",subtotal,24,Total Operating Revenue,2800,Buffalo City,BUF,5947527434
Audited Actual,AUDA,2017,year,2017,,heading,25,OPERATING EXPENDITURE,2900,Buffalo City,BUF,0
Audited Actual,AUDA,2017,year,2017,,line_item,26,Employee Related Costs - Wages & Salaries,3000,Buffalo City,BUF,1384791852
