amount_type.label,amount_type.code,financial_period.period,period_length.length,financial_year_end.year,item.composition,item.return_form_structure,item.position_in_return_form,item.label,item.code,demarcation.label,demarcation.code,amount.sum
Audited Actual,AUDA,2017,year,2017,,heading,1,OPERATING REVENUE,0100,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,,line_item,2,Property Rates,0200,Buffalo City,BUF,957618439
Audited Actual,AUDA,2017,year,2017,,line_item,3,Property Rates - Penalties And Collection Charges,0300,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,,line_item,4,Service Charges,0400,Buffalo City,BUF,2593541588
Audited Actual,AUDA,2017,year,2017,,line_item,5,Rent Of Facilities And Equipment,0700,Buffalo City,BUF,16424005
Audited Actual,AUDA,2017,year,2017,,line_item,6,Interest Earned - External Investments,0800,Buffalo City,BUF,148011397
Audited Actual,AUDA,2017,year,2017,,line_item,7,Interest Earned - Outstanding Debtors,1000,Buffalo City,BUF,50425493
Audited Actual,AUDA,2017,year,2017,,line_item,8,Dividends Received,1100,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,,line_item,9,Fines,1300,Buffalo City,BUF,16895710
Audited Actual,AUDA,2017,year,2017,,line_item,10,Licenses and Permits,1400,Buffalo City,BUF,14225199
Audited Actual,AUDA,2017,year,2017,,line_item,11,Agency Services,1500,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,,line_item,12,Transfers Recognised - Operating,1600,Buffalo City,BUF,1304827290
Audited Actual,AUDA,2017,year,2017,,line_item,13,Transfers Recognised - Capital,1610,Buffalo City,BUF,669780334
Audited Actual,AUDA,2017,year,2017,,line_item,14,Other Revenue,1700,Buffalo City,BUF,274544055
Audited Actual,AUDA,2017,year,2017,,line_item,15,"Gain On Disposal Of Property, Plant & Equipment",1800,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,"sum(0200, 0300, 0400, 0700, 0800, 1000, 1100, 1300, 1400, 1500, 1600, 1610, 1700, 1800)",subtotal,16,Total Operating Revenue Generated,1900,Buffalo City,BUF,6046293510
Audited Actual,AUDA,2017,year,2017,,line_item,17,Less Revenue Foregone,2000,Buffalo City,BUF,98766076
Audited Actual,AUDA,2017,year,2017,1900 - 2000 or 1900 + 2000 depending on the sign on 2000 such that 2100 < 1900,subtotal,18,Total Direct Operating Revenue,2100,Buffalo City,BUF,5947527434
Audited Actual,AUDA,2017,year,2017,,heading,19,INTERNAL TRANSFERS – (must net out with corresp. items under,2200,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,,line_item,20,Interest Received - Internal Loans,2300,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,,line_item,21,Internal Recoveries (Activity Based Costing Etc),2500,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,,line_item,22,Dividends Received - Internal (From Municipal Entities),2600,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,"sum(2300, 2500, 2600)",subtotal,23,Total Indirect Operating Revenue,2700,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,"sum(2100, 2700)",subtotal,24,Total Operating Revenue,2800,Buffalo City,BUF,5947527434
Audited Actual,AUDA,2017,year,2017,,heading,25,OPERATING EXPENDITURE,2900,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,,line_item,26,Employee Related Costs - Wages & Salaries,3000,Buffalo City,BUF,1384791852
Audited Actual,AUDA,2017,year,2017,,line_item,27,Employee Related Costs - Social Contributions,3100,Buffalo City,BUF,242591484
Audited Actual,AUDA,2017,year,2017,,line_item,28,Less Employee Costs Capitalised,3200,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,,line_item,29,Less Employee Costs Allocated To Other Operating Items,3300,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,,line_item,30,Remuneration Of Councillors,3400,Buffalo City,BUF,55482280
Audited Actual,AUDA,2017,year,2017,,line_item,31,Debt Impairment,3500,Buffalo City,BUF,203883070
Audited Actual,AUDA,2017,year,2017,,line_item,32,Collection Costs,3600,Buffalo City,BUF,35883419
Audited Actual,AUDA,2017,year,2017,,line_item,33,Depreciation and Asset Impairment,3700,Buffalo City,BUF,807458661
Audited Actual,AUDA,2017,year,2017,,line_item,34,Interest Expense - External Borrowings,3900,Buffalo City,BUF,49359424
Audited Actual,AUDA,2017,year,2017,,line_item,35,Redemption Payments - External Borrowings (Gamap To Remove),4000,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,,line_item,36,Bulk Purchases,4100,Buffalo City,BUF,1558513807
Audited Actual,AUDA,2017,year,2017,,line_item,37,Other Materials,4110,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,,line_item,38,Contracted Services,4200,Buffalo City,BUF,1036130
Audited Actual,AUDA,2017,year,2017,,line_item,39,Grants and Subsidies,4300,Buffalo City,BUF,43173384
Audited Actual,AUDA,2017,year,2017,,line_item,40,Other Expenditure,4400,Buffalo City,BUF,1169078584
Audited Actual,AUDA,2017,year,2017,,line_item,41,"Loss On Disposal Of Property, Plant & Equipment",4500,Buffalo City,BUF,36364770
Audited Actual,AUDA,2017,year,2017,,line_item,42,Contributions To/(From) Provisions,4550,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,"sum(3000, 3100, 3200, 3300, 3400, 3500, 3600, 3700, 3900, 4000, 4100, 4110, 4200, 4300, 4400, 4500, 4550)",subtotal,43,Total Direct Operating Expenditure,4600,Buffalo City,BUF,5587616865
Audited Actual,AUDA,2017,year,2017,,heading,44,INTERNAL TRANSFERS - (must net out with corresp. items under,4700,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,,line_item,45,Interest - Internal Borrowings,4800,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,,line_item,46,Internal Charges (Activity Based Costing Etc),5000,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,,line_item,47,Contributed Assets,5010,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,"sum(4800, 5000, 5010)",subtotal,48,Total Indirect Operating Expenditure,5100,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,"sum(4600, 5100)",subtotal,49,Total Operating Expenditure,5200,Buffalo City,BUF,5587616865
Audited Actual,AUDA,2017,year,2017,,heading,50,SURPLUS,5300,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,2800 - 5200 or 2800 + 5200 depending on the sign on 5200 such that 5400 < 2800,subtotal,51,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,5400,Buffalo City,BUF,359910569
Audited Actual,AUDA,2017,year,2017,,line_item,52,Taxation,5500,Buffalo City,BUF,638439
Audited Actual,AUDA,2017,year,2017,5400 - 5500 or 5400 + 5500 depending on the sign on 5500 such that 5600 < 5400,subtotal,53,Operating Surplus / (Deficit) - After Tax,5600,Buffalo City,BUF,359272130
Audited Actual,AUDA,2017,year,2017,,line_item,54,Cross Subsidisation,5800,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,,line_item,55,Plus Interests In Entities Not Wholly Owned,6600,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,"sum(5600, 5800, 6600)",subtotal,56,"Surplus / (Deficit) After Tax, Cross Subsidies & Share Of As",5900,Buffalo City,BUF,359272130
Audited Actual,AUDA,2017,year,2017,,heading,57,OTHER ADJUSTMENTS AND TRANSFERS,6200,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,,line_item,58,Dividends Paid (Municipal Entities Only),5700,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,,line_item,59,Asset Financing Reserve (Afr),6210,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,,line_item,60,Housing Development Fund,6220,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,,line_item,61,Depreciation Reserve Ex Afr,6230,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,,line_item,62,Depreciation Reserve Ex Govt Grants,6240,Buffalo City,BUF,
Audited Actual,AUDA,2017,year,2017,,line_item,63,Depreciation Reserve Ex Donations And Contributions,6250,Buffalo City,BUF,
